id,country_region,date,total_cases,total_deaths,total_recovered
1,Afghanistan,2020-02-29,1.0,0.0,1.0
2,Afghanistan,2020-03-31,174.0,4.0,170.0
3,Afghanistan,2020-04-30,2171.0,64.0,2107.0
4,Afghanistan,2020-05-31,15205.0,257.0,14948.0
5,Afghanistan,2020-06-30,31517.0,746.0,30771.0
6,Afghanistan,2020-07-31,36675.0,1272.0,35403.0
7,Afghanistan,2020-08-31,38165.0,1402.0,36763.0
8,Afghanistan,2020-09-30,39268.0,1458.0,37810.0
9,Afghanistan,2020-10-31,41425.0,1536.0,39889.0
10,Afghanistan,2020-11-30,46498.0,1774.0,44724.0
11,Afghanistan,2020-12-31,52513.0,2201.0,50312.0
12,Afghanistan,2021-01-31,55059.0,2404.0,52655.0
13,Afghanistan,2021-02-28,55733.0,2444.0,53289.0
14,Afghanistan,2021-03-31,56517.0,2489.0,54028.0
15,Afghanistan,2021-04-30,59942.0,2631.0,57311.0
16,Afghanistan,2021-05-31,72981.0,2974.0,70007.0
17,Afghanistan,2021-06-30,120216.0,4962.0,115254.0
18,Afghanistan,2021-07-31,147501.0,6737.0,140764.0
19,Afghanistan,2021-08-31,153260.0,7123.0,146137.0
20,Afghanistan,2021-09-30,155191.0,7206.0,147985.0
21,Afghanistan,2021-10-31,156250.0,7280.0,148970.0
22,Afghanistan,2021-11-30,157303.0,7308.0,149995.0
23,Afghanistan,2021-12-31,158098.0,7356.0,150742.0
24,Afghanistan,2022-01-31,162926.0,7414.0,155512.0
25,Afghanistan,2022-02-28,173758.0,7603.0,166155.0
26,Afghanistan,2022-03-31,177764.0,7670.0,170094.0
27,Afghanistan,2022-04-30,178879.0,7683.0,171196.0
28,Afghanistan,2022-05-14,179243.0,7690.0,171553.0
29,Albania,2020-02-29,0.0,0.0,0.0
30,Albania,2020-03-31,243.0,15.0,228.0
31,Albania,2020-04-30,773.0,31.0,742.0
32,Albania,2020-05-31,1137.0,33.0,1104.0
33,Albania,2020-06-30,2535.0,62.0,2473.0
34,Albania,2020-07-31,5276.0,157.0,5119.0
35,Albania,2020-08-31,9513.0,284.0,9229.0
36,Albania,2020-09-30,13649.0,387.0,13262.0
37,Albania,2020-10-31,20875.0,509.0,20366.0
38,Albania,2020-11-30,38182.0,810.0,37372.0
39,Albania,2020-12-31,58316.0,1181.0,57135.0
40,Albania,2021-01-31,78127.0,1380.0,76747.0
41,Albania,2021-02-28,107167.0,1796.0,105371.0
42,Albania,2021-03-31,125157.0,2235.0,122922.0
43,Albania,2021-04-30,131085.0,2394.0,128691.0
44,Albania,2021-05-31,132315.0,2451.0,129864.0
45,Albania,2021-06-30,132521.0,2456.0,130065.0
46,Albania,2021-07-31,133081.0,2457.0,130624.0
47,Albania,2021-08-31,146387.0,2498.0,143889.0
48,Albania,2021-09-30,170131.0,2698.0,167433.0
49,Albania,2021-10-31,185300.0,2924.0,182376.0
50,Albania,2021-11-30,199945.0,3096.0,196849.0
51,Albania,2021-12-31,210224.0,3217.0,207007.0
52,Albania,2022-01-31,258573.0,3346.0,255227.0
53,Albania,2022-02-28,271563.0,3469.0,268094.0
54,Albania,2022-03-31,273677.0,3492.0,270185.0
55,Albania,2022-04-30,275107.0,3496.0,271611.0
56,Albania,2022-05-14,275574.0,3497.0,272077.0
57,Algeria,2020-02-29,1.0,0.0,1.0
58,Algeria,2020-03-31,716.0,44.0,672.0
59,Algeria,2020-04-30,4006.0,450.0,3556.0
60,Algeria,2020-05-31,9394.0,653.0,8741.0
61,Algeria,2020-06-30,13907.0,912.0,12995.0
62,Algeria,2020-07-31,30394.0,1210.0,29184.0
63,Algeria,2020-08-31,44494.0,1510.0,42984.0
64,Algeria,2020-09-30,51530.0,1736.0,49794.0
65,Algeria,2020-10-31,57942.0,1964.0,55978.0
66,Algeria,2020-11-30,83199.0,2431.0,80768.0
67,Algeria,2020-12-31,99610.0,2756.0,96854.0
68,Algeria,2021-01-31,107339.0,2891.0,104448.0
69,Algeria,2021-02-28,113092.0,2983.0,110109.0
70,Algeria,2021-03-31,117192.0,3093.0,114099.0
71,Algeria,2021-04-30,122108.0,3253.0,118855.0
72,Algeria,2021-05-31,128913.0,3472.0,125441.0
73,Algeria,2021-06-30,139626.0,3716.0,135910.0
74,Algeria,2021-07-31,171392.0,4254.0,167138.0
75,Algeria,2021-08-31,196080.0,5269.0,190811.0
76,Algeria,2021-09-30,203359.0,5812.0,197547.0
77,Algeria,2021-10-31,206452.0,5920.0,200532.0
78,Algeria,2021-11-30,210531.0,6071.0,204460.0
79,Algeria,2021-12-31,218432.0,6276.0,212156.0
80,Algeria,2022-01-31,252117.0,6579.0,245538.0
81,Algeria,2022-02-28,264936.0,6835.0,258101.0
82,Algeria,2022-03-31,265671.0,6874.0,258797.0
83,Algeria,2022-04-30,265780.0,6875.0,258905.0
84,Algeria,2022-05-14,265816.0,6875.0,258941.0
85,Andorra,2020-02-29,0.0,0.0,0.0
86,Andorra,2020-03-31,376.0,12.0,364.0
87,Andorra,2020-04-30,745.0,42.0,703.0
88,Andorra,2020-05-31,764.0,51.0,713.0
89,Andorra,2020-06-30,855.0,52.0,803.0
90,Andorra,2020-07-31,925.0,52.0,873.0
91,Andorra,2020-08-31,1176.0,53.0,1123.0
92,Andorra,2020-09-30,2050.0,53.0,1997.0
93,Andorra,2020-10-31,4756.0,75.0,4681.0
