id,country_region,date,total_cases,total_deaths,total_recovered
1,Andorra,2022-07-31,3.0,0.0,3.0
2,Andorra,2022-08-31,4.0,0.0,4.0
3,Andorra,2022-09-30,4.0,0.0,4.0
4,Andorra,2022-10-31,4.0,0.0,4.0
5,Andorra,2022-11-30,4.0,0.0,4.0
6,Andorra,2022-12-31,4.0,0.0,4.0
7,Andorra,2023-01-31,4.0,0.0,4.0
8,Andorra,2023-02-28,4.0,0.0,4.0
9,Andorra,2023-03-31,4.0,0.0,4.0
10,Andorra,2023-04-30,4.0,0.0,4.0
11,Andorra,2023-05-08,4.0,0.0,4.0
12,Argentina,2022-06-30,4.0,0.0,4.0
13,Argentina,2022-07-31,20.0,0.0,20.0
14,Argentina,2022-08-31,133.0,0.0,133.0
15,Argentina,2022-09-30,396.0,0.0,396.0
16,Argentina,2022-10-31,675.0,0.0,675.0
17,Argentina,2022-11-30,944.0,1.0,943.0
18,Argentina,2022-12-31,1018.0,1.0,1017.0
19,Argentina,2023-01-31,1064.0,2.0,1062.0
20,Argentina,2023-02-28,1099.0,2.0,1097.0
21,Argentina,2023-03-31,1124.0,2.0,1122.0
22,Argentina,2023-04-30,1128.0,2.0,1126.0
23,Argentina,2023-05-09,1129.0,2.0,1127.0
24,Aruba,2022-08-31,2.0,0.0,2.0
25,Aruba,2022-09-30,3.0,0.0,3.0
26,Aruba,2022-10-31,3.0,0.0,3.0
27,Aruba,2022-11-30,3.0,0.0,3.0
28,Aruba,2022-12-31,3.0,0.0,3.0
29,Aruba,2023-01-31,3.0,0.0,3.0
30,Aruba,2023-02-28,3.0,0.0,3.0
31,Aruba,2023-03-31,3.0,0.0,3.0
32,Aruba,2023-04-30,3.0,0.0,3.0
33,Aruba,2023-05-09,3.0,0.0,3.0
34,Australia,2022-05-31,2.0,0.0,2.0
35,Australia,2022-06-30,12.0,0.0,12.0
36,Australia,2022-07-31,45.0,0.0,45.0
37,Australia,2022-08-31,106.0,0.0,106.0
38,Australia,2022-09-30,136.0,0.0,136.0
39,Australia,2022-10-31,140.0,0.0,140.0
40,Australia,2022-11-30,143.0,0.0,143.0
41,Australia,2022-12-31,144.0,0.0,144.0
42,Australia,2023-01-31,144.0,0.0,144.0
43,Australia,2023-02-28,144.0,0.0,144.0
44,Australia,2023-03-31,144.0,0.0,144.0
45,Australia,2023-04-30,144.0,0.0,144.0
46,Australia,2023-05-05,145.0,0.0,145.0
47,Austria,2022-05-31,1.0,0.0,1.0
48,Austria,2022-06-30,20.0,0.0,20.0
49,Austria,2022-07-31,118.0,0.0,118.0
50,Austria,2022-08-31,265.0,0.0,265.0
51,Austria,2022-09-30,313.0,0.0,313.0
52,Austria,2022-10-31,323.0,0.0,323.0
53,Austria,2022-11-30,326.0,0.0,326.0
54,Austria,2022-12-31,327.0,0.0,327.0
55,Austria,2023-01-31,327.0,0.0,327.0
56,Austria,2023-02-28,327.0,0.0,327.0
57,Austria,2023-03-31,327.0,0.0,327.0
58,Austria,2023-04-30,328.0,0.0,328.0
59,Austria,2023-05-08,328.0,0.0,328.0
60,Bahamas,2022-06-30,1.0,0.0,1.0
61,Bahamas,2022-07-31,1.0,0.0,1.0
62,Bahamas,2022-08-31,2.0,0.0,2.0
63,Bahamas,2022-09-30,2.0,0.0,2.0
64,Bahamas,2022-10-31,2.0,0.0,2.0
65,Bahamas,2022-11-30,2.0,0.0,2.0
66,Bahamas,2022-12-31,2.0,0.0,2.0
67,Bahamas,2023-01-31,2.0,0.0,2.0
68,Bahamas,2023-02-28,2.0,0.0,2.0
69,Bahamas,2023-03-31,2.0,0.0,2.0
70,Bahamas,2023-04-30,2.0,0.0,2.0
71,Bahamas,2023-05-09,2.0,0.0,2.0
72,Bahrain,2022-09-30,1.0,0.0,1.0
73,Bahrain,2022-10-31,1.0,0.0,1.0
74,Bahrain,2022-11-30,1.0,0.0,1.0
75,Bahrain,2022-12-31,1.0,0.0,1.0
76,Bahrain,2023-01-31,1.0,0.0,1.0
77,Bahrain,2023-02-28,1.0,0.0,1.0
78,Bahrain,2023-03-31,1.0,0.0,1.0
79,Bahrain,2023-04-16,2.0,0.0,2.0
80,Barbados,2022-07-31,1.0,0.0,1.0
81,Barbados,2022-08-31,1.0,0.0,1.0
82,Barbados,2022-09-30,1.0,0.0,1.0
83,Barbados,2022-10-31,1.0,0.0,1.0
84,Barbados,2022-11-30,1.0,0.0,1.0
85,Barbados,2022-12-31,1.0,0.0,1.0
86,Barbados,2023-01-31,1.0,0.0,1.0
87,Barbados,2023-02-28,1.0,0.0,1.0
88,Barbados,2023-03-31,1.0,0.0,1.0
89,Barbados,2023-04-30,1.0,0.0,1.0
90,Barbados,2023-05-09,1.0,0.0,1.0
91,Belgium,2022-05-31,10.0,0.0,10.0
92,Belgium,2022-06-30,117.0,0.0,117.0
93,Belgium,2022-07-31,393.0,0.0,393.0
94,Belgium,2022-08-31,706.0,1.0,705.0
95,Belgium,2022-09-30,770.0,1.0,769.0
96,Belgium,2022-10-31,785.0,1.0,784.0
97,Belgium,2022-11-30,789.0,1.0,788.0
98,Belgium,2022-12-31,790.0,1.0,789.0
99,Belgium,2023-01-31,793.0,1.0,792.0
100,Belgium,2023-02-28,793.0,2.0,791.0
101,Belgium,2023-03-31,793.0,2.0,791.0
102,Belgium,2023-04-30,793.0,2.0,791.0
103,Belgium,2023-05-08,793.0,2.0,791.0
104,Benin,2022-06-30,3.0,0.0,3.0
105,Benin,2022-07-31,3.0,0.0,3.0
106,Benin,2022-08-31,3.0,0.0,3.0
107,Benin,2022-09-30,3.0,0.0,3.0
108,Benin,2022-10-31,3.0,0.0,3.0
109,Benin,2022-11-30,3.0,0.0,3.0
110,Benin,2022-12-31,3.0,0.0,3.0
111,Benin,2023-01-31,3.0,0.0,3.0
112,Benin,2023-02-28,3.0,0.0,3.0
113,Benin,2023-03-31,3.0,0.0,3.0
114,Benin,2023-04-30,3.0,0.0,3.0
115,Benin,2023-05-05,3.0,0.0,3.0
116,Bermuda,2022-07-31,1.0,0.0,1.0
117,Bermuda,2022-08-31,1.0,0.0,1.0
118,Bermuda,2022-09-30,1.0,0.0,1.0
119,Bermuda,2022-10-31,1.0,0.0,1.0
120,Bermuda,2022-11-30,1.0,0.0,1.0
121,Bermuda,2022-12-31,1.0,0.0,1.0
122,Bermuda,2023-01-31,1.0,0.0,1.0
123,Bermuda,2023-02-28,1.0,0.0,1.0
124,Bermuda,2023-03-31,1.0,0.0,1.0
125,Bermuda,2023-04-30,1.0,0.0,1.0
126,Bermuda,2023-05-09,1.0,0.0,1.0
127,Bolivia,2022-08-31,73.0,0.0,73.0
128,Bolivia,2022-09-30,185.0,0.0,185.0
129,Bolivia,2022-10-31,241.0,0.0,241.0
130,Bolivia,2022-11-30,257.0,0.0,257.0
131,Bolivia,2022-12-31,261.0,0.0,261.0
132,Bolivia,2023-01-31,263.0,0.0,263.0
133,Bolivia,2023-02-28,265.0,0.0,265.0
134,Bolivia,2023-03-31,265.0,0.0,265.0
135,Bolivia,2023-04-30,265.0,0.0,265.0
136,Bolivia,2023-05-09,265.0,0.0,265.0
137,Bosnia and Herzegovina,2022-07-31,1.0,0.0,1.0
138,Bosnia and Herzegovina,2022-08-31,3.0,0.0,3.0
139,Bosnia and Herzegovina,2022-09-30,5.0,0.0,5.0
140,Bosnia and Herzegovina,2022-10-31,9.0,0.0,9.0
141,Bosnia and Herzegovina,2022-11-30,9.0,0.0,9.0
142,Bosnia and Herzegovina,2022-12-31,9.0,0.0,9.0
143,Bosnia and Herzegovina,2023-01-31,9.0,0.0,9.0
144,Bosnia and Herzegovina,2023-02-28,9.0,0.0,9.0
145,Bosnia and Herzegovina,2023-03-31,9.0,0.0,9.0
146,Bosnia and Herzegovina,2023-04-30,9.0,0.0,9.0
147,Bosnia and Herzegovina,2023-05-08,9.0,0.0,9.0
